id,cx,cy,radius_px,diameter_px,circularity,diameter_um
0,100.93,442.91,14.22,28.44,0.8879,56.88
1,503.84,443.78,17.26,34.51,0.8668,69.02
2,557.0,411.81,6.88,13.76,0.9278,27.52
3,433.53,404.51,32.93,65.86,0.8539,131.72
4,272.22,395.11,25.26,50.52,0.8771,101.04
5,344.48,351.91,22.37,44.75,0.8868,89.5
6,484.5,304.0,7.16,14.32,0.9171,28.64
7,451.21,310.6,16.61,33.22,0.8665,66.44
8,252.98,297.04,6.36,12.72,0.903,25.44
9,624.18,277.82,6.96,13.91,0.8916,27.82
10,532.94,277.91,11.29,22.59,0.8863,45.18
11,147.85,299.85,49.61,99.23,0.7504,198.46
12,228.9,251.9,6.2,12.4,0.8843,24.8
13,244.05,205.95,10.01,20.02,0.9005,40.04
14,347.37,198.11,12.96,25.93,0.899,51.86
15,495.0,162.5,44.5,89.0,0.8128,178.0
16,378.22,133.24,31.32,62.64,0.8726,125.28
17,507.0,82.27,18.76,37.52,0.8663,75.04
18,50.24,51.81,37.12,74.23,0.8793,148.46
